,Team,Posicao,Club,#,Birth Date,FIFA Popular Name,#
84,Argentina,MF,West Ham United FC (ENG),15,03.09.1995,SUELE Niklas,15
85,Argentina,MF,West Ham United FC (ENG),15,15.12.1988,NZONZI Steven,15
86,Argentina,MF,West Ham United FC (ENG),15,19.12.1985,CAHILL Gary,15
87,Argentina,MF,West Ham United FC (ENG),15,01.06.1995,MAHMOUD HAMDY,15
88,Argentina,MF,West Ham United FC (ENG),15,09.06.1994,FISCHER Viktor,15
89,Argentina,MF,West Ham United FC (ENG),15,17.09.1996,CALETA-CAR Duje,15
90,Argentina,MF,West Ham United FC (ENG),15,08.07.1992,CALVO Francisco,15
91,Argentina,MF,West Ham United FC (ENG),15,21.03.1991,URIBE Mateus,15
92,Argentina,MF,West Ham United FC (ENG),15,25.07.1988,PAULINHO,15
93,Argentina,MF,West Ham United FC (ENG),15,12.09.1991,MEUNIER Thomas,15
94,Argentina,MF,West Ham United FC (ENG),15,03.08.1984,JEDINAK Mile,15
95,Argentina,MF,West Ham United FC (ENG),15,15.02.1993,LANZINI Manuel,15
96,Argentina,DF,SL Benfica (POR),18,14.08.1996,GOMEZ Maximiliano,18
97,Argentina,DF,SL Benfica (POR),18,25.06.1997,SRARFI Bassem,18
98,Argentina,DF,SL Benfica (POR),18,24.11.1989,GAVRANOVIC Mario,18
99,Argentina,DF,SL Benfica (POR),18,13.02.1991,JANSSON Pontus,18
100,Argentina,DF,SL Benfica (POR),18,21.03.1989,ALBA Jordi,18
101,Argentina,DF,SL Benfica (POR),18,15.02.1996,RADONJIC Nemanja,18
102,Argentina,DF,SL Benfica (POR),18,25.02.1998,SARR Ismaila,18
103,Argentina,DF,SL Benfica (POR),18,19.08.1991,SALEM ALDAWSARI,18
104,Argentina,DF,SL Benfica (POR),18,20.08.1983,ZHIRKOV Yury,18
105,Argentina,DF,SL Benfica (POR),18,11.05.1995,GELSON MARTINS,18
106,Argentina,DF,SL Benfica (POR),18,12.07.1992,BERESZYNSKI Bartosz,18
107,Argentina,DF,SL Benfica (POR),18,14.06.1991,CARRILLO Andre,18
108,Argentina,DF,SL Benfica (POR),18,28.03.1982,TEJADA Luis,18
109,Argentina,DF,SL Benfica (POR),18,03.05.1996,IWOBI Alex,18
110,Argentina,DF,SL Benfica (POR),18,18.06.1997,HARIT Amine,18
111,Argentina,DF,SL Benfica (POR),18,28.09.1986,GUARDADO Andres,18
112,Argentina,DF,SL Benfica (POR),18,09.06.1992,MOON Seonmin,18
113,Argentina,DF,SL Benfica (POR),18,23.01.1993,OSHIMA Ryota,18
114,Argentina,DF,SL Benfica (POR),18,11.08.1993,JAHANBAKHSH Alireza,18
115,Argentina,DF,SL Benfica (POR),18,11.02.1993,MAGNUSSON Hordur,18
116,Argentina,DF,SL Benfica (POR),18,08.02.1995,KIMMICH Joshua,18
117,Argentina,DF,SL Benfica (POR),18,18.07.1993,FEKIR Nabil,18
118,Argentina,DF,SL Benfica (POR),18,09.07.1985,YOUNG Ashley,18
119,Argentina,DF,SL Benfica (POR),18,05.03.1986,SHIKABALA,18
120,Argentina,DF,SL Benfica (POR),18,12.07.1993,LERAGER Lukas,18
121,Argentina,DF,SL Benfica (POR),18,21.09.1993,REBIC Ante,18
122,Argentina,DF,SL Benfica (POR),18,24.04.1982,PEMBERTON Patrick,18
123,Argentina,DF,SL Benfica (POR),18,22.02.1991,FABRA Frank,18
124,Argentina,DF,SL Benfica (POR),18,05.03.1993,FRED,18
125,Argentina,DF,SL Benfica (POR),18,05.02.1995,JANUZAJ Adnan,18
126,Argentina,DF,SL Benfica (POR),18,27.03.1985,VUKOVIC Danny,18
127,Argentina,DF,SL Benfica (POR),18,13.07.1990,SALVIO Eduardo,18
128,Argentina,FW,FC Barcelona (ESP),10,01.06.1994,DE ARRASCAETA Giorgian,10
129,Argentina,FW,FC Barcelona (ESP),10,08.02.1991,KHAZRI Wahbi,10
130,Argentina,FW,FC Barcelona (ESP),10,27.09.1992,XHAKA Granit,10
131,Argentina,FW,FC Barcelona (ESP),10,23.10.1991,FORSBERG Emil,10
132,Argentina,FW,FC Barcelona (ESP),10,11.04.1991,THIAGO,10
133,Argentina,FW,FC Barcelona (ESP),10,20.11.1988,TADIC Dusan,10
134,Argentina,FW,FC Barcelona (ESP),10,10.04.1992,MANE Sadio,10
135,Argentina,FW,FC Barcelona (ESP),10,10.01.1987,MOHAMMED ALSAHLAWI,10
136,Argentina,FW,FC Barcelona (ESP),10,09.02.1990,SMOLOV Fedor,10
137,Argentina,FW,FC Barcelona (ESP),10,19.01.1993,JOAO MARIO,10
138,Argentina,FW,FC Barcelona (ESP),10,29.01.1990,KRYCHOWIAK Grzegorz,10
139,Argentina,FW,FC Barcelona (ESP),10,26.10.1984,FARFAN Jefferson,10
140,Argentina,FW,FC Barcelona (ESP),10,12.05.1997,DIAZ Ismael,10
141,Argentina,FW,FC Barcelona (ESP),10,22.04.1987,MIKEL John Obi,10
142,Argentina,FW,FC Barcelona (ESP),10,25.02.1990,BELHANDA Younes,10
143,Argentina,FW,FC Barcelona (ESP),10,11.05.1989,DOS SANTOS Giovani,10
144,Argentina,FW,FC Barcelona (ESP),10,06.01.1998,LEE Seungwoo,10
145,Argentina,FW,FC Barcelona (ESP),10,17.03.1989,KAGAWA Shinji,10
146,Argentina,FW,FC Barcelona (ESP),10,03.04.1990,ANSARIFARD Karim,10
147,Argentina,FW,FC Barcelona (ESP),10,08.09.1989,SIGURDSSON Gylfi,10
148,Argentina,FW,FC Barcelona (ESP),10,15.10.1988,OEZIL Mesut,10
149,Argentina,FW,FC Barcelona (ESP),10,20.12.1998,MBAPPE Kylian,10
150,Argentina,FW,FC Barcelona (ESP),10,08.12.1994,STERLING Raheem,10
151,Argentina,FW,FC Barcelona (ESP),10,15.06.1992,MOHAMED SALAH,10
152,Argentina,FW,FC Barcelona (ESP),10,14.02.1992,ERIKSEN Christian,10
153,Argentina,FW,FC Barcelona (ESP),10,09.09.1985,MODRIC Luka,10
154,Argentina,FW,FC Barcelona (ESP),10,18.08.1985,RUIZ Bryan,10
155,Argentina,FW,FC Barcelona (ESP),10,12.07.1991,RODRIGUEZ James,10
156,Argentina,FW,FC Barcelona (ESP),10,05.02.1992,NEYMAR,10
157,Argentina,FW,FC Barcelona (ESP),10,07.01.1991,HAZARD Eden,10
158,Argentina,FW,FC Barcelona (ESP),10,05.10.1988,KRUSE Robbie,10
159,Argentina,FW,FC Barcelona (ESP),10,24.06.1987,MESSI Lionel,10
160,Argentina,DF,Torino FC (ITA),4,24.03.1993,VARELA Guillermo,4
161,Argentina,DF,Torino FC (ITA),4,02.07.1993,MERIAH Yassine,4
162,Argentina,DF,Torino FC (ITA),4,30.09.1996,ELVEDI Nico,4
163,Argentina,DF,Torino FC (ITA),4,16.04.1985,GRANQVIST Andreas,4
164,Argentina,DF,Torino FC (ITA),4,18.01.1990,NACHO,4
165,Argentina,DF,Torino FC (ITA),4,07.04.1991,MILIVOJEVIC Luka,4
166,Argentina,DF,Torino FC (ITA),4,22.11.1989,MBODJI Kara,4
167,Argentina,DF,Torino FC (ITA),4,21.11.1989,ALI ALBULAYHI,4
168,Argentina,DF,Torino FC (ITA),4,14.07.1979,IGNASHEVICH Sergey,4
169,Argentina,DF,Torino FC (ITA),4,05.02.1986,MANUEL FERNANDES,4
170,Argentina,DF,Torino FC (ITA),4,21.04.1986,CIONEK Thiago,4
171,Argentina,DF,Torino FC (ITA),4,10.01.1992,SANTAMARIA Anderson,4
172,Argentina,DF,Torino FC (ITA),4,09.01.1995,ESCOBAR Fidel,4
173,Argentina,DF,Torino FC (ITA),4,16.12.1996,NDIDI Onyinye,4
174,Argentina,DF,Torino FC (ITA),4,06.05.1986,DA COSTA Manuel,4
175,Argentina,DF,Torino FC (ITA),4,13.02.1979,MARQUEZ Rafael,4
176,Argentina,DF,Torino FC (ITA),4,20.05.1988,OH Bansuk,4
177,Argentina,DF,Torino FC (ITA),4,13.06.1986,HONDA Keisuke,4
178,Argentina,DF,Torino FC (ITA),4,24.07.1993,CHESHMI Roozbeh,4
179,Argentina,DF,Torino FC (ITA),4,15.06.1997,GUDMUNDSSON Albert,4
180,Argentina,DF,Torino FC (ITA),4,19.01.1994,GINTER Matthias,4
181,Argentina,DF,Torino FC (ITA),4,25.04.1993,VARANE Raphael,4
182,Argentina,DF,Torino FC (ITA),4,15.01.1994,DIER Eric,4
183,Argentina,DF,Torino FC (ITA),4,30.01.1992,OMAR GABER,4
184,Argentina,DF,Torino FC (ITA),4,26.03.1989,KJAER Simon,4
185,Argentina,DF,Torino FC (ITA),4,02.02.1989,PERISIC Ivan,4
186,Argentina,DF,Torino FC (ITA),4,06.03.1998,SMITH Ian,4
187,Argentina,DF,Torino FC (ITA),4,13.01.1992,ARIAS Santiago,4
188,Argentina,DF,Torino FC (ITA),4,21.09.1985,PEDRO GEROMEL,4
189,Argentina,DF,Torino FC (ITA),4,10.04.1986,KOMPANY Vincent,4
190,Argentina,DF,Torino FC (ITA),4,06.12.1979,CAHILL Tim,4
191,Argentina,DF,Torino FC (ITA),4,20.09.1986,ANSALDI Cristian,4
192,Argentina,MF,AC Milan (ITA),5,02.12.1984,SANCHEZ Carlos,5
193,Argentina,MF,AC Milan (ITA),5,28.01.1992,HADDADI Oussama,5
194,Argentina,MF,AC Milan (ITA),5,19.07.1995,AKANJI Manuel,5
195,Argentina,MF,AC Milan (ITA),5,17.05.1988,OLSSON Martin,5
196,Argentina,MF,AC Milan (ITA),5,16.07.1988,BUSQUETS Sergio,5
197,Argentina,MF,AC Milan (ITA),5,13.02.1993,SPAJIC Uros,5
198,Argentina,MF,AC Milan (ITA),5,26.09.1989,GUEYE Idrissa Gana,5
199,Argentina,MF,AC Milan (ITA),5,27.09.1985,OMAR OTHMAN,5
200,Argentina,MF,AC Milan (ITA),5,24.03.1989,SEMENOV Andrey,5
201,Argentina,MF,AC Milan (ITA),5,22.12.1993,RAPHAEL GUERREIRO,5
202,Argentina,MF,AC Milan (ITA),5,12.04.1996,BEDNAREK Jan,5
203,Argentina,MF,AC Milan (ITA),5,24.10.1994,ARAUJO Miguel,5
204,Argentina,MF,AC Milan (ITA),5,20.03.1986,TORRES Roman,5
205,Argentina,MF,AC Milan (ITA),5,01.09.1993,EKONG William,5
206,Argentina,MF,AC Milan (ITA),5,17.04.1987,BENATIA Mehdi,5
207,Argentina,MF,AC Milan (ITA),5,19.09.1992,REYES Diego,5
208,Argentina,MF,AC Milan (ITA),5,04.10.1988,YUN Youngsun,5
209,Argentina,MF,AC Milan (ITA),5,12.09.1986,NAGATOMO Yuto,5
210,Argentina,MF,AC Milan (ITA),5,29.09.1993,MOHAMMADI Milad,5
211,Argentina,MF,AC Milan (ITA),5,05.08.1993,INGASON Sverrir,5
212,Argentina,MF,AC Milan (ITA),5,16.12.1988,HUMMELS Mats,5
213,Argentina,MF,AC Milan (ITA),5,14.11.1993,UMTITI Samuel,5
214,Argentina,MF,AC Milan (ITA),5,28.05.1994,STONES John,5
215,Argentina,MF,AC Milan (ITA),5,10.09.1991,SAM MORSY,5
216,Argentina,MF,AC Milan (ITA),5,16.09.1992,KNUDSEN Jonas,5
217,Argentina,MF,AC Milan (ITA),5,05.02.1986,CORLUKA Vedran,5
218,Argentina,MF,AC Milan (ITA),5,27.05.1988,BORGES Celso,5
219,Argentina,MF,AC Milan (ITA),5,16.10.1993,BARRIOS  Wilmar,5
220,Argentina,MF,AC Milan (ITA),5,23.02.1992,CASEMIRO,5
221,Argentina,MF,AC Milan (ITA),5,24.04.1987,VERTONGHEN Jan,5
222,Argentina,MF,AC Milan (ITA),5,04.08.1985,MILLIGAN Mark,5
223,Argentina,MF,AC Milan (ITA),5,30.01.1986,BIGLIA Lucas,5
224,Argentina,MF,Sevilla FC (ESP),7,30.09.1985,RODRIGUEZ Cristian,7
225,Argentina,MF,Sevilla FC (ESP),7,27.04.1995,KHAOUI Saifeddine,7
226,Argentina,MF,Sevilla FC (ESP),7,14.02.1997,EMBOLO Breel,7
227,Argentina,MF,Sevilla FC (ESP),7,06.06.1985,LARSSON Sebastian,7
228,Argentina,MF,Sevilla FC (ESP),7,21.11.1994,SAUL,7
229,Argentina,MF,Sevilla FC (ESP),7,11.07.1996,ZIVKOVIC Andrija,7
230,Argentina,MF,Sevilla FC (ESP),7,19.01.1986,SOW Moussa,7
231,Argentina,MF,Sevilla FC (ESP),7,01.08.1989,SALMAN ALFARAJ,7
232,Argentina,MF,Sevilla FC (ESP),7,15.01.1993,KUZIAEV Daler,7
233,Argentina,MF,Sevilla FC (ESP),7,05.02.1985,CRISTIANO RONALDO,7
234,Argentina,MF,Sevilla FC (ESP),7,28.02.1994,MILIK Arkadiusz,7
235,Argentina,MF,Sevilla FC (ESP),7,27.07.1990,HURTADO Paolo,7
236,Argentina,MF,Sevilla FC (ESP),7,13.03.1981,PEREZ Blas,7
237,Argentina,MF,Sevilla FC (ESP),7,14.10.1992,MUSA Ahmed,7
238,Argentina,MF,Sevilla FC (ESP),7,19.03.1993,ZIYACH Hakim,7
239,Argentina,MF,Sevilla FC (ESP),7,25.06.1988,LAYUN Miguel,7
240,Argentina,MF,Sevilla FC (ESP),7,08.07.1992,SON Heungmin,7
241,Argentina,MF,Sevilla FC (ESP),7,28.05.1992,SHIBASAKI Gaku,7
242,Argentina,MF,Sevilla FC (ESP),7,09.06.1984,SHOJAEI Masoud,7
243,Argentina,MF,Sevilla FC (ESP),7,27.10.1990,GUDMUNDSSON Johann,7
244,Argentina,MF,Sevilla FC (ESP),7,20.09.1993,DRAXLER Julian,7
245,Argentina,MF,Sevilla FC (ESP),7,21.03.1991,GRIEZMANN Antoine,7
246,Argentina,MF,Sevilla FC (ESP),7,15.12.1992,LINGARD Jesse,7
247,Argentina,MF,Sevilla FC (ESP),7,10.11.1984,AHMED FATHI,7
248,Argentina,MF,Sevilla FC (ESP),7,24.02.1985,KVIST William,7
249,Argentina,MF,Sevilla FC (ESP),7,10.03.1988,RAKITIC Ivan,7
250,Argentina,MF,Sevilla FC (ESP),7,17.05.1984,BOLANOS Christian,7
251,Argentina,MF,Sevilla FC (ESP),7,08.09.1986,BACCA Carlos,7
252,Argentina,MF,Sevilla FC (ESP),7,14.09.1990,DOUGLAS COSTA,7
253,Argentina,MF,Sevilla FC (ESP),7,28.06.1991,DE BRUYNE Kevin,7
254,Argentina,MF,Sevilla FC (ESP),7,04.02.1991,LECKIE Mathew,7
255,Argentina,MF,Sevilla FC (ESP),7,29.06.1988,BANEGA Ever,7
256,Argentina,DF,Hebei China Fortune FC (CHN),14,11.02.1996,TORREIRA Lucas,14
257,Argentina,DF,Hebei China Fortune FC (CHN),14,03.05.1992,BEN AMOR Mohamed,14
258,Argentina,DF,Hebei China Fortune FC (CHN),14,17.08.1991,ZUBER Steven,14
259,Argentina,DF,Hebei China Fortune FC (CHN),14,22.04.1993,HELANDER Filip,14
260,Argentina,DF,Hebei China Fortune FC (CHN),14,28.08.1989,AZPILICUETA Cesar,14
261,Argentina,DF,Hebei China Fortune FC (CHN),14,02.04.1991,RODIC Milan,14
262,Argentina,DF,Hebei China Fortune FC (CHN),14,03.04.1993,KONATE Moussa,14
263,Argentina,DF,Hebei China Fortune FC (CHN),14,03.08.1992,ABDULLAH OTAYF,14
264,Argentina,DF,Hebei China Fortune FC (CHN),14,22.05.1987,GRANAT Vladimir,14
265,Argentina,DF,Hebei China Fortune FC (CHN),14,07.04.1992,WILLIAM,14
266,Argentina,DF,Hebei China Fortune FC (CHN),14,03.06.1991,TEODORCZYK Lukasz,14
267,Argentina,DF,Hebei China Fortune FC (CHN),14,29.09.1994,POLO Andy,14
268,Argentina,DF,Hebei China Fortune FC (CHN),14,30.05.1991,PIMENTEL Valentin,14
269,Argentina,DF,Hebei China Fortune FC (CHN),14,10.03.1996,IHEANACHO Kelechi,14
270,Argentina,DF,Hebei China Fortune FC (CHN),14,15.08.1984,BOUSSOUFA Mbark,14
271,Argentina,DF,Hebei China Fortune FC (CHN),14,01.06.1988,HERNANDEZ Javier,14
272,Argentina,DF,Hebei China Fortune FC (CHN),14,17.09.1990,HONG Chul,14
273,Argentina,DF,Hebei China Fortune FC (CHN),14,02.06.1988,INUI Takashi,14
274,Argentina,DF,Hebei China Fortune FC (CHN),14,06.09.1993,GHODDOS  Saman,14
275,Argentina,DF,Hebei China Fortune FC (CHN),14,13.10.1982,ARNASON Kari,14
276,Argentina,DF,Hebei China Fortune FC (CHN),14,06.02.1995,GORETZKA Leon,14
277,Argentina,DF,Hebei China Fortune FC (CHN),14,09.04.1987,MATUIDI Blaise,14
278,Argentina,DF,Hebei China Fortune FC (CHN),14,26.11.1990,WELBECK Danny,14
279,Argentina,DF,Hebei China Fortune FC (CHN),14,23.01.1997,RAMADAN SOBHY,14
280,Argentina,DF,Hebei China Fortune FC (CHN),14,27.07.1989,DALSGAARD Henrik,14
281,Argentina,DF,Hebei China Fortune FC (CHN),14,11.01.1992,BRADARIC Filip,14
282,Argentina,DF,Hebei China Fortune FC (CHN),14,30.12.1984,AZOFEIFA Randall,14
283,Argentina,DF,Hebei China Fortune FC (CHN),14,16.04.1991,MURIEL Luis,14
284,Argentina,DF,Hebei China Fortune FC (CHN),14,15.07.1991,DANILO,14
285,Argentina,DF,Hebei China Fortune FC (CHN),14,06.05.1987,MERTENS Dries,14
286,Argentina,DF,Hebei China Fortune FC (CHN),14,29.07.1993,MacLAREN Jamie,14
287,Argentina,DF,Hebei China Fortune FC (CHN),14,08.06.1984,MASCHERANO Javier,14
288,Argentina,FW,Juventus FC (ITA),21,14.02.1987,CAVANI Edinson,21
289,Argentina,FW,Juventus FC (ITA),21,28.10.1992,NAGUEZ Hamdi,21
290,Argentina,FW,Juventus FC (ITA),21,14.11.1990,BUERKI Roman,21
291,Argentina,FW,Juventus FC (ITA),21,22.03.1989,DURMAZ Jimmy,21
292,Argentina,FW,Juventus FC (ITA),21,08.01.1986,SILVA David,21
293,Argentina,FW,Juventus FC (ITA),21,01.08.1988,MATIC Nemanja,21
294,Argentina,FW,Juventus FC (ITA),21,20.10.1989,GASSAMA Lamine,21
295,Argentina,FW,Juventus FC (ITA),21,27.02.1984,YASSER ALMOSAILEM,21
296,Argentina,FW,Juventus FC (ITA),21,13.10.1989,EROKHIN Aleksandr,21
297,Argentina,FW,Juventus FC (ITA),21,31.08.1991,CEDRIC,21
298,Argentina,FW,Juventus FC (ITA),21,29.01.1993,KURZAWA Rafal,21
299,Argentina,FW,Juventus FC (ITA),21,01.03.1986,CARVALLO Jose,21
300,Argentina,FW,Juventus FC (ITA),21,19.06.1998,RODRIGUEZ Jose Luis,21
301,Argentina,FW,Juventus FC (ITA),21,16.12.1995,EBUEHI Tyronne,21
302,Argentina,FW,Juventus FC (ITA),21,21.08.1996,AMRABAT Sofyan,21
303,Argentina,FW,Juventus FC (ITA),21,24.10.1997,ALVAREZ Edson,21
304,Argentina,FW,Juventus FC (ITA),21,06.07.1987,KIM Jinhyeon,21
305,Argentina,FW,Juventus FC (ITA),21,14.03.1991,SAKAI Gotoku,21
306,Argentina,FW,Juventus FC (ITA),21,05.07.1986,DEJAGAH Ashkan,21
307,Argentina,FW,Juventus FC (ITA),21,30.04.1993,TRAUSTASON Arnor,21
308,Argentina,FW,Juventus FC (ITA),21,24.10.1990,GUENDOGAN Ilkay,21
309,Argentina,FW,Juventus FC (ITA),21,14.02.1996,HERNANDEZ Lucas,21
310,Argentina,FW,Juventus FC (ITA),21,23.01.1996,LOFTUS-CHEEK Ruben,21
311,Argentina,FW,Juventus FC (ITA),21,01.10.1994,TREZEGUET,21
312,Argentina,FW,Juventus FC (ITA),21,16.03.1993,CORNELIUS Andreas,21
313,Argentina,FW,Juventus FC (ITA),21,29.04.1989,VIDA Domagoj,21
314,Argentina,FW,Juventus FC (ITA),21,05.03.1990,URENA Marcos,21
315,Argentina,FW,Juventus FC (ITA),21,07.07.1992,IZQUIERDO Jose,21
316,Argentina,FW,Juventus FC (ITA),21,13.01.1988,TAISON,21
317,Argentina,FW,Juventus FC (ITA),21,02.10.1993,BATSHUAYI Michy,21
318,Argentina,FW,Juventus FC (ITA),21,10.11.1992,PETRATOS Dimitrios,21
319,Argentina,FW,Juventus FC (ITA),21,15.11.1993,DYBALA Paulo,21
